Artist + song,Track ID,reducedGenre
Lauren Spencer Smith - Best Friend Breakup,79tOFjU8iFZn0pvsAfQ1DZ,Pop
"Kris Kross Amsterdam, Donnie & Roxeanne Hazes - Der Af",443rDqZIaqvZzJ1DgdJNgr,Electronic
PinkPantheress & Ice Spice - Boy's A Liar Pt. 2,6AQbmUe0Qwf5PZnt4HmTXv,Pop
Mike Mago & Dragonette - Outlines,5jMvwTgvkTc9730UgUf8Fj,Electronic
U2 - The miracle (of Joey Ramone),4sEKv3Ofgz8f1Z80WVenRR,Rock
Otto Knows - Parachute,5m5vDr9hWKgAH8yYmSHZbu,Electronic
Alesso featuring. Tove Lo - Heroes (We could be),3zU9rdflI65tK4dkkNSp77,Pop
Nicki Minaj - Anaconda,5eqiMMbaeUZ32Q7sS00H35,Pop
Echosmith - Cool kids,13P5rwmk2EsoFRIz9UCeh9,Pop
Mr Probz - Nothing really matters,4fGbdX3qUTOS8Kpsc8hQT6,Electronic
Jan Smit & Kraantje Pappie - Handen omhoog,5JNagKl3gwnJJ9pwjrN8zV,Pop
Dotan - Fall,2qwQh8YCmWzEeS7KARFoqw,Pop
Sam Smith - I'm not the only one,7795WJLVKJoAyVoOtCWqXN,Pop
The Magician feat. Years and Years - Sunlight,7w9W20r1IpCDQQMRcLEsQZ,Electronic
Ed Sheeran - Thinking out loud,34gCuhDGsG4bRPIf9bb02f,Pop
David Guetta feat. Sam Martin - Dangerous,7pqgMEKsDMOHUdFQ7n0N9K,Pop
Sheppard - Geronimo,0qt5f5EL92o8Snzopsv0en,Pop
One Direction - Steal my girl,2Bs4jQEGMycglOfWPBqrVG,Pop
AronChupa - Im an albatraoz,5MhsZlmKJG6X5kTHkdwC4B,Pop
Hardwell feat. Chris Jones - Young again,2pnappP4F4nlPnYxGn5Ktt,Electronic
Gwen Stefani - Baby don't lie,5t54WbqXtMwT5yF1nQSuKz,Pop
Martin Garrix & MOTi - Virus (how about now),6GLzN6o2fkOupy8e1vGzwp,Pop
Marlon Roudette - When the beat drops out,5aJhuze13LOoLthmiG8YIA,Pop
Kensington - War,6mEl7vK6usgdsNm4QFHeEd,Rock
Eelke Kleijn - Mistakes I've made,5W3N9NkOl0tLaqi5LZbUOC,Electronic
Lenny Kravitz - The chamber,3qvFtKlZ9MV0VYUeZ3EC2A,Rock
Mark Ronson feat: Bruno Mars - Uptown funk!,32OlwWuMpZ6b0aN2RZOeMS,R&B
The Script - No good in goodbye,0Dv4DdNy1xnhNcCd9YVoiH,Pop
Calvin Harris feat. Ellie Goulding - Outside,7MmG8p0F9N3C4AXdK6o6Eb,Pop
Ariana Grande & The Weeknd - Love me harder,5J4ZkQpzMUFojo1CtAZYpn,Pop
Yellow Claw ft. Ayden - Till it hurts,6HhrMBN43RnGlGv7vIdnM5,Electronic
Imagine Dragons - I bet my life,0ct0vSOkP0IZnbPGiDltCR,Pop
Fox Stevenson - Sweets (soda pop),7mfxWWMXqjaRVuI4NTCdfk,Electronic
Racoon - Brick by brick,2rQRDuFCXjzZxRyOEYct9i,Folk/Acoustic
Meghan Trainor - Lips are movin,6gj08XDlv9Duc2fPOxUmVD,Pop
Coldplay - Ink,6c6W25YoDGjTq3qSPOga5t,Pop
The Avener - Fade out lines,1ubVPccf8Vb9mL0XYpVpCV,Electronic
Olly Murs feat. Travie McCoy - Wrapped up,39lS97papXAI72StGRtZBo,Pop
Ariana Grande - Santa tell me,0lizgQ7Qw35od7CYaoMBZb,Pop
Walk The Moon - Shut up + dance,4kbj5MwxO1bq9wjT5g9HaA,Rock
Trijntje Oosterhuis - Walk along,1oHucHJhXYj1iNi2Ai0Ugc,Pop
Galantis - Runaway (U & I),46lFttIf5hnUZMGvjK0Wxo,Pop
Taylor Swift - Blank space,1u8c2t2Cy7UBoG4ArRcF5g,Pop
O'G3ne - Magic,3PsqhHSQ1VC3WeqFxPkcfx,Pop
Avicii - The nights,0ct6r3EGTcMLPtrXHDvVjc,Pop
James Bay - Hold back the river,1KZyVnyptQcPzkx7ELCnZC,Pop
Omi - Cheerleader - Felix Jaehn remix,7vFoFDWqTX0mHzLfrF1Cfy,Pop
Vance Joy - Riptide,2uXlHCUbq9OMUwx3hrk06o,Pop
Miss Montreal & Paskal Jakobsen - Ik zoek alleen mezelf,4zCnKpAnIDLzIjhhVic9nB,Pop
Paolo Nutini - Iron sky,2bcC9Xyi40wnI7Od5uch31,R&B
